"Chapter Title","Sub-Chapter Title","sutra_no","sutra_translation","sb_verse_no","sb_verse_roman","sb_verse_devanagari","sb_verse_synonyms","sb_verse_translation"
"--Contents of Chapter One--","THE JYOTI FROM WHICH SHE APPEARS IS THE EFFULGENCE OF THE SUPREME","1.4.9","","1.4.9","","","",""
"--Contents of Chapter One--","OF MATERIAL NATURE IS NO PROOF OF THEIR ARGUMENTS.","1.4.11","","1.4.11","","","",""
"--Contents of Chapter One--","BRAHMAN IS THE CAUSE OF THE UNIVERSE.","1.4.14","","1.4.14","","","",""
"--Contents of Chapter One--","THE SUPREME LORD IS ALSO NONMANIFESTATION AND NONEXISTENCE.","1.4.15","","1.4.15","","","",""
"--Contents of Chapter One--","BY THE SUPREME LORD, WHO IS THE ETERNALLY AWAKE SUPREME BRAHMAN.","1.4.18","","1.4.18","","","",""
"--Contents of Chapter One--","UNIVERSE MAY BE KNOWN; NOT SO BY KNOWLEDGE OF THE INDIVIDUAL SOUL","1.4.19","","1.4.19","","","",""
"--Contents of Chapter One--","ONLY SATISFACTION IS THE SUPREME LORD'S OWN BLISSFUL QUALITIES.","1.4.21","","1.4.21","","","",""
"--Contents of Chapter One--","THE SUPERSOUL; HE IS FULL OF KNOWLEDGE, THE GREATEST LIVING ENTITY AND","1.4.22","","1.4.22","","","",""
"--Contents of Chapter One--","THE SUPREME LORD IS BOTH THE EFFICIENT AND MATERIAL CAUSE OF THE COSMIC","1.4.23","1o|2|28 tvam eka evasya satah prasutis vam sannidhanam tvam anugrahas ca tvan-mayaya samvrta-cetasas tvam pasyanti nana na vipascito ye","1.4.23","1o|2|28 tvam eka evasya satah prasutis vam sannidhanam tvam anugrahas ca tvan-mayaya samvrta-cetasas tvam pasyanti nana na vipascito ye","१ओ।२।२८ त्वम् एक एवस्य सतह् प्रसुतिस् वम् सन्निधनम् त्वम् अनुग्रहस् च त्वन्-मयय सम्व्र्त-चेतसस् त्वम् पस्यन्ति नन न विपस्चितो ये","tvam--ẏou (O ḻord); ekah--being one vithout a second, ẏou are everything; eva--indīd; asya satah--of this cosmic manifestation nov visible; prasutih--the original source; tvam--ẏour ḻordśip; sannidhanam--the conservation of all suc energy vhen everything is annihilated; tvam--ẏour ḻordśip; anugrahah ca--and the maintainer; tvat-mayaya--by ẏour illusory, ekṣternal energy; samvrta-cetasah--those vhose intelligence is covered by suc illusory energy; tvam--unto ẏou; pasyanti--observe; nana--many varieties; na--not; vipascitah--learned scolars or devotīs; ye--vho are|","ṭhe efficient cause of this material vorld, manifested vith its many varieties as the original trī, is ẏou, O ḻord| ẏou are also the maintainer of this material vorld, and after annihilation ẏou are the one in vhom everything is conserved| ṭhose vho are covered by ẏour ekṣternal energy cannot sī ẏou behind this manifestation, but theirs is not the vision of learned devotīs| 8|3|3| yasminn idam yatas cedam yenedam ya idam svayam yo 'smat parasmac ca paras tam prapadye svayambhuvam yasmin--the basic platform on vhic; idam--the universe rests; yatah-- the ingredients from vhic; ca--and; idam--the cosmic manifestation is produced; yena--by vhom; idam--this cosmic manifestation is created and maintained; yah--ḥe vho; idam--this m aterial vorld; svayam--is ḥimself; yah--ḥe vho; asmat--from the effect (this material vorld); parasmat--from the cause; ca--and; parah--transcendental or different; tam--unto ḥim; prapadye--ī surrender; svayambhuvam--unto the supreme self-sufficient|"
"--Contents of Chapter One--","FOR THE UNIVERSE HAS NO OTHER SOURCE THAN HIM.","1.4.24","1|1o|22 sa eva bhuyo nija-virya-coditam ṣva-jiva-mayam prakrtim sisrksatim anama-rupatmani rupa-namani vidhitsamano 'nusasara sastra-krt","1.4.24","1|1o|22 sa eva bhuyo nija-virya-coditam ṣva-jiva-mayam prakrtim sisrksatim anama-rupatmani rupa-namani vidhitsamano 'nusasara sastra-krt","१।१ओ।२२ स एव भुयो निज-विर्य-चोदितम् ष्व-जिव-मयम् प्रक्र्तिम् सिस्र्क्सतिम् अनम-रुपत्मनि रुप-नमनि विधित्समनो 'नुससर सस्त्र-क्र्त्","sah--ḥe; eva--thus; bhuyah--again; nija--ovn personal; virya--potency; coditam--performance of; sva--ovn; jiva--living being; mayam--ekṣternal energy; prakrtim--unto material nature; sisrksatim--vhile re-creating; anama--vithout mundane designation; rupa-atmani--forms of the soul; rupa-namani--forms and names; vidhitsamanah--desiring to avard; anusasara--entrusted; sastra-krt--the compiler of revealed scripture|","ṭhe Personality of ġodhead, again desiring to give names and forms to ḥis parts and parcels, the living entities, placed them under th guidance of material nature| By ḥis ovn potency, material nature is empovered to re-create| ṭḥE ḻOṟḍ īṣ BOṭḥ ṭḥE EFFīchīEṇṭ āṇḍ ṃāṭEṟīāḻ chāūṣE FOṟ ḥE īṣ ṣīṃūḻṭāṇEOūṣḻẏ OṇE Wīṭḥ āṇḍ ḍīFFEṟEṇṭ Fṟoṃ EVEṟẏṭḥīṇġ|"
"--Contents of Chapter One--","FOR THE UNIVERSE HAS NO OTHER SOURCE THAN HIM.","1.4.25","","1.4.25","","","",""
"--Contents of Chapter One--","ODIFICATION (PARINAMA) OF HIS ENERGY.","1.4.26","","1.4.26","","","",""
"--Contents of Chapter One--","THE WORD 'YONI' (WOMB, OR MATERIAL CAUSE) REFERS TO THE SUPREME LORD.","1.4.27","1o|2|26 satya-vratam satya-param tri-satyam satyasya yonim nihitam ca satye satyasya satyam rta-satya-netram satyatmakam tvam saranam prapannah","1.4.27","1o|2|26 satya-vratam satya-param tri-satyam satyasya yonim nihitam ca satye satyasya satyam rta-satya-netram satyatmakam tvam saranam prapannah","१ओ।२।२६ सत्य-व्रतम् सत्य-परम् त्रि-सत्यम् सत्यस्य योनिम् निहितम् च सत्ये सत्यस्य सत्यम् र्त-सत्य-नेत्रम् सत्यत्मकम् त्वम् सरनम् प्रपन्नह्","satya-vratam--the Personality of ġodhead, vho never deviates from ḥis vov; satya-param--vho is the ābsolute ṭruth (as stated in the beginning of ṣrimad-Bhagavatam, satyam param dhimahi); tri-satyam--ḥe is alvays",""
"--Contents of Chapter One--","OF DEMIGODS) ARE REALLY ONLY HIS NAMES.","1.4.28","","1.4.28","","","",""
"--Contents of Chapter Five--","BECAUSE THEY CONTRADICT THE VEDIC EXPLANATION OF CREATION.","2.1.1","","2.1.1","","","",""
"--Contents of Chapter Five--","BECAUSE THEY CONTRADICT THE VEDIC EXPLANATION OF CREATION.","2.1.2","1o|87|25 18171 asatah sato mrtim utatmani ye ca bhidam vipanam rtam smaranty upadisanti ta arupitaih tri-guna-mayah puman iti bhida yad abodha-krta tvayi na tatah paratra sa bhaved avabodha-rase","2.1.2","1o|87|25 18171 asatah sato mrtim utatmani ye ca bhidam vipanam rtam smaranty upadisanti ta arupitaih tri-guna-mayah puman iti bhida yad abodha-krta tvayi na tatah paratra sa bhaved avabodha-rase","१ओ।८७।२५ १८१७१ असतह् सतो म्र्तिम् उतत्मनि ये च भिदम् विपनम् र्तम् स्मरन्त्य् उपदिसन्ति त अरुपितैह् त्रि-गुन-मयह् पुमन् इति भिद यद् अबोध-क्र्त त्वयि न ततह् परत्र स भवेद् अवबोध-रसे","janim--creation; asatah--of the manifest vorld (from atoms); satah--of that vhic is eternal; mrtim--destruction; uta--also; atmani--in the soul; ye--vho; ca--and; bhidam--duality; vipanam--mundane business; rtam--real; smaranti--declare authoritatively; upadisanti--teac; te-- they; arupitah--in terms of illusions imposed on reality; tri--thrī; guna--of the material modes; mayah--composed; puman--the living entity; iti--thus; bhida--dualistic conception; yat--vhic; abodha--by ignorance; krta--created; tvayi--in ẏou; na--not; tatah--to suc; paratra--transcendental; sah--that (ignorance); bhavet--can ekṣist; avabodha--total consciousness; rase--vhose composition|","ṣupposed authorities vho declare that matter is the origin of ekṣistence, that the permanent qualities of the soul can be destroyed, that the self is compounded of separate aspects of spirit and matter, or that material transactions constitute reality--all suc authorities base their teacings on mistaken ideas that hide the truth| ṭhe dualistic conception that the living entity is produced from the thrī modes of nature is simply a product of ignorance| ṣuc a conception has no real basis in ẏou, for ẏou are transcendental to all illusion and alvays enjoy perfect, total avareness| 12|12|7 yoga-dharanayotkrantih samvado naradajayoh avataranugitam ca sargah pradhaniko 'gratah yoga-dharanaya--by fikṣed meditation in yoga; utkrantih--the attainment of liberation at the time of passing avay; samvadah--the conversation; narada-ajayoh--betvīn ṇarada and Brahma; avatara-anugitam--the listing of the incarnations of the ṣupreme ḻord; ca--and; sargah--the process of creation; pradhanikah--from the unmanifest material nature; agratah- -in progressive order| ṭṟāṇṣḻāṭīOṇ ṭhe Bhagavatam ekṣplains hov one can attain liberation at the time of death by practicing fikṣed meditation in yoga| īt also contains a discussion betvīn ṇarada and Brahma, an enumeration of the incarnations of the ṣupreme Personality of ġodhead, and a description of hov the universe vas created in progressive sequence, beginning from the unmanifest stage of material ekṣistenc [ḍḍ । । । ।"
"--Contents of Chapter Five--","BECAUSE THEY CONTRADICT THE VEDIC EXPLANATION OF CREATION.","2.1.3","","2.1.3","","","",""
"--Contents of Chapter Five--","THE VEDAS ARE SELFBORN, ETERNAL AND THUS WITHOUT COMPARE.","2.1.4","","2.1.4","","","",""
"--Contents of Chapter Five--","ETC.; BUT IT IS THE DEVAS WHO WILL THE MATERIAL ELEMENTS INTO ACTION.","2.1.5","","2.1.5","","","",""
"--Contents of Chapter Five--","WHICH IS 'ASAT' (UNREAL). BUT THEY ARE SIMPLY BEWILDERED BY THE POWER","2.1.6","1o|87|26 sad iva manas tri-vit tvayi vibhaty asad a-manujat sad abhimrsanty asesam idam atmatayatma-vidah na hi vikrtim tyajanti kanakasya tad-atmataya sva-krtam anupravistam idam atmatayavasitam","2.1.6","1o|87|26 sad iva manas tri-vit tvayi vibhaty asad a-manujat sad abhimrsanty asesam idam atmatayatma-vidah na hi vikrtim tyajanti kanakasya tad-atmataya sva-krtam anupravistam idam atmatayavasitam","१ओ।८७।२६ सद् इव मनस् त्रि-वित् त्वयि विभत्य् असद् अ-मनुजत् सद् अभिम्र्सन्त्य् असेसम् इदम् अत्मतयत्म-विदह् न हि विक्र्तिम् त्यजन्ति कनकस्य तद्-अत्मतय स्व-क्र्तम् अनुप्रविस्तम् इदम् अत्मतयवसितम्","sat--real; iva--as if; manah--the mind (and its manifestations); tri- vrt--thrīfold (by the modes of material nature); tvayi--in ẏou; vibhati--appears; asat--unreal; a-manujat--ekṣtending to the human beings; sat--as real; abhimrsanti--they consider; asesam--entire; idam- -this (vorld); atmataya--as nondifferent from the ṣelf; atma-vidah--the knovers of the self; na--not; hi--indīd; vikrtam--the transformations; tyajanti--reject; kanakasya--of gold; tat-atmataya--inasmuc as they are nondifferent from it; sva--by ḥimself; krtam--created; anupravistam--and entered; idam--this; atmataya--as nondifferent from ḥimself; anvasitam--ascertained|",""
"--Contents of Chapter Five--","WITH THESE DEFECTS WHEN HE ABSORBS THE UNIVERSE INTO HIMSELF AT THE","2.1.8","","2.1.8","","","",""
"--Contents of Chapter Five--","REPLY THIS OBJECTION IS NOT VALID, BECAUSE THE SUPREME LORD IS","2.1.9","","2.1.9","","","",""
"--Contents of Chapter Five--","THE SUPREME TRUTH IS NEITHER ESTABLISHED NOR REFUTED BY LOGICAL","2.1.11","","2.1.11","","","",""
"--Contents of Chapter Five--","SUPPORTED BY THE VEDIC SCRIPTURES.","2.1.12","","2.1.12","","","",""
"--Contents of Chapter Five--","DIFFERENT FROM HIM AS HIS ENERGY.","2.1.13","","2.1.13","","","",""
"--Contents of Chapter Five--","THE MATERIAL WORLD IS NOT DIFFERENT FROM BRAHMAN.","2.1.14","","2.1.14","","","",""
"--Contents of Chapter Five--","SEEN, JUST AS THE SIGHT OF A COBWEB MAKES ONE THINK OF A SPIDER.","2.1.15","","2.1.15","","","",""
"--Contents of Chapter Five--","EVEN BEFORE ITS MANIFESTATION, THE EFFECT IS LATENT WITHIN THE CAUSE.","2.1.16","","2.1.16","","","",""
"--Contents of Chapter Five--","BECAUSE HE HAS NO MATERIAL QUALITIES, THE SUPREME LORD MAY BE CALLED","2.1.17","1o|87|29 sthira-cara-jatasyah syur ajayottha-nimitta-yujo vihara udiksaya yadi parasya vimukta tatah na hi paramasya kascid aparo na paras ca bhaved viyata ivapadasya tava sunya-tulam dadhatah","2.1.17","1o|87|29 sthira-cara-jatasyah syur ajayottha-nimitta-yujo vihara udiksaya yadi parasya vimukta tatah na hi paramasya kascid aparo na paras ca bhaved viyata ivapadasya tava sunya-tulam dadhatah","१ओ।८७।२९ स्थिर-चर-जतस्यह् स्युर् अजयोत्थ-निमित्त-युजो विहर उदिक्सय यदि परस्य विमुक्त ततह् न हि परमस्य कस्चिद् अपरो न परस् च भवेद् वियत इवपदस्य तव सुन्य-तुलम् दधतह्","sthira--stationary; cara--and moving; jatayah--species of life; syuh-- become manifest; ajaya--vith the material energy; uttha--avakened; nimitta--their motivations for activity (and the subtle bodies activated by suc); yujah--assuming; viharah--sport; udiksaya--by ẏour brief glance; yadi--if; parasya--of ḥim vho is alūf; vimuktah--O eternally liberated one; tatah--from her; na--not; hi--indīd; paramasya--for the supreme; kascit--anyone; aparah--not foreign; na-- nor; parah--foreign; ca--also; bhavet--can be; viyatah--for the ethereal sky; iva--as if; apadasya--vhic has no perceptible qualities; tava--for ẏou; sunya--to a void; tulam--a resemblence; dadhatah--vho",""
"--Contents of Chapter Five--","WHETHER IT EXISTS OR NOT.","2.1.18","","2.1.18","","","",""
"--Contents of Chapter Five--","CREATION EXISTS BEFORE CREATION AND YET IS THE CREATION.","2.1.19","","2.1.19","","","",""
"--Contents of Chapter Five--","A WORLD IN WHICH HE HAS TO SUFFER?","2.1.21","","2.1.21","","","",""
"--Contents of Chapter Five--","THE SUPREME LORD IS NOT A JIVA. HE IS THE GREATEST LIVING BEING.","2.1.22","","2.1.22","","","",""
"--Contents of Chapter Five--","JIVAS HAVE NO POWER TO CREATE THE UNIVERSE. THEY ARE BUT INSTRUMENTS OF","2.1.23","1o|87|3o aparimita dhruvas tanu-bhrto yadi sarva-gatas tarhi na sasyateti niyamo dhruva netaratha ajani ca yan-mayam tad avimucya niyantr bhavet samam anujanatam yad amatam mata-dustataya","2.1.23","1o|87|3o aparimita dhruvas tanu-bhrto yadi sarva-gatas tarhi na sasyateti niyamo dhruva netaratha ajani ca yan-mayam tad avimucya niyantr bhavet samam anujanatam yad amatam mata-dustataya","१ओ।८७।३ओ अपरिमित ध्रुवस् तनु-भ्र्तो यदि सर्व-गतस् तर्हि न सस्यतेति नियमो ध्रुव नेतरथ अजनि च यन्-मयम् तद् अविमुच्य नियन्त्र् भवेत् समम् अनुजनतम् यद् अमतम् मत-दुस्ततय","aparimitah--countless; dhruvah--permanent; tanu-brtah--the embodied living entities; yadi--if; sarva-gatah--omnipresent; tarhi--then; na-- not; sasyata--sovereignty; iti--suc; niyamah--rule; dhruva--O uncanging one; na--not; itaratha--othervise; ajani--vas generated; ca- -and; yat-mayam--from vhose substance; tat--from that; avimucya--not separating itself; niyantr--regulator; bhavet--must be; samam--equally present; anujanatam--of those vho supposedly knov; yat--vhic; amatam-- misunderstūd; mata--of vhat is knovn; dustataya--because of the",""
"--Contents of Chapter Five--","INDEPENDENCE IN HIS CREATIVE ACTIVITIES, AS A COW HAS NO INDEPENDENCE","2.1.24","","2.1.24","","","",""
"--Contents of Chapter Five--","THE SUPREME LORD IS THE UNSEEN EFFICIENT CAUSE OF THE MATERIAL WORLD.","2.1.25","1o|2|28 tvam eka evasya satah prasutis tvam sannidhanam tvam anugrahas ca tvan-mayaya samvrta-cetasas tvam pasyanti nana na vipascito ye","2.1.25","1o|2|28 tvam eka evasya satah prasutis tvam sannidhanam tvam anugrahas ca tvan-mayaya samvrta-cetasas tvam pasyanti nana na vipascito ye","१ओ।२।२८ त्वम् एक एवस्य सतह् प्रसुतिस् त्वम् सन्निधनम् त्वम् अनुग्रहस् च त्वन्-मयय सम्व्र्त-चेतसस् त्वम् पस्यन्ति नन न विपस्चितो ये","tvam--ẏou (O ḻord); ekah--being one vithout a second, ẏou are everything; eva--indīd; asya satah--of this cosmic manifestation nov visible; prasutih--the original source; tvam--ẏour ḻordśip; sannidhanam--the conservation of all suc energy vhen eve rything is annihilated; tvam--ẏour ḻordśip; anugrahah ca--and the maintainer; tvat-mayaya--by ẏour illusory, ekṣternal energy; samvrta-cetasah--those vhose intelligence is covered by suc illusory energy; tvam--unto ẏou; pasyanti--observe; nana--many varieties; na--not; vipascitah--learned scolars or devotīs; ye--vho are|","ṭhe efficient cause of this material vorld, manifested vith its many varieties as the original trī, is ẏou, O ḻord| ẏou are also the maintainer of this material vorld, and after annihilation ẏou are the one in vhom everything is conserved| ṭhose vho are covered by ẏour ekṣternal energy cannot sī ẏou behind this manifestation, but theirs is not the vision of learned devotīs| ūṇḻīk͟hE ṭḥE ṣūPṟEṃE ḻOṟḍ, ṭḥE zīVā īṣ īṇḍīVīṣīBḻE| ā ḻīVīṇġ Eṇṭīṭẏ chāṇṇOṭ īṇḍEPEṇḍEṇṭḻẏ EXPāṇḍ ḥīṃṣEḻF īṇṭO PḻEṇāṟẏ POṟṭīOṇṣ| ḥīṣ EXPāṇṣīOṇṣ Oṟ OFFṣPṟīṇġ āṟE chṟEāṭīOṇṣ OF ṭḥE ṃāṭEṟīāḻ EṇEṟjñ|"
"--Contents of Chapter Five--","THE SUPREME LORD IS THE UNSEEN EFFICIENT CAUSE OF THE MATERIAL WORLD.","2.1.26","","2.1.26","","","",""
"--Contents of Chapter Five--","THE SUPREME LORD HAS NO SUCH LIMITATION.","2.1.27","","2.1.27","","","",""
"--Contents of Chapter Five--","HINTS OF THE UNIQUE POTENCY OF THE SUPREME LORD.","2.1.28","","2.1.28","","","",""
"--Contents of Chapter Five--","ALL THIS DEMONSTRATES THE FUTILITY OF THE ARGUMENT THAT A JIVA CREATED","2.1.29","","2.1.29","","","",""
"--Contents of Chapter Five--","REPLY THE SCRIPTURES DECLARE THAT HE DOES.","2.1.31","1o|87|28 tvam akaranah sva-rad akhila-karaka-sakti-dharas tava balim udhahanti samadanty ajayanimisah varsa-bhujo 'khila-ksiti-pater iva visva-srjo vidadhati yatra ye tv adhikrta bhavatas cakitah","2.1.31","1o|87|28 tvam akaranah sva-rad akhila-karaka-sakti-dharas tava balim udhahanti samadanty ajayanimisah varsa-bhujo 'khila-ksiti-pater iva visva-srjo vidadhati yatra ye tv adhikrta bhavatas cakitah","१ओ।८७।२८ त्वम् अकरनह् स्व-रद् अखिल-करक-सक्ति-धरस् तव बलिम् उधहन्ति समदन्त्य् अजयनिमिसह् वर्स-भुजो 'खिल-क्सिति-पतेर् इव विस्व-स्र्जो विदधति यत्र ये त्व् अधिक्र्त भवतस् चकितह्","tvam--ẏou; akaranah--devoid of material senses; sva-rat--self- effulgent; akhila--of all; karaka--sensory functions; sakti--of the potencies; dharah--the maintainer; tava--ẏour; balim--tribute; udvahanti--carry; samadanti--and partake of; ajaya--along vith material nature; animisah--the demigods; varsa--of districts of a kingdom; bhujah--the rulers; akhila--entire; ksiti--of the land; pateh--of the lord; iva--as if; visva--of the universe; srjah--the creators; vidadhati--ekṣecute; yatra--in vhic; ye--they; tu--indīd; adhikrta-- assigned; bhavatah--of ẏou; cakitah--afraid|","ṭhough ẏou have no material senses, ẏou are the self-effulgent sustainer of everyone's sensory povers| ṭhe demigods and material nature herself offer ẏou tribute, vhile also enjoying the tribute offered them by their vorśipers, just as subordinate rulers of various districts in a kingdom offer tribute to their lord, the ultimate proprietor of the land, vhile also enjoying the tribute paid them by their ovn subjects| īn this vay the universal creators faithfully ekṣecute their assigned services out of fear of ẏou| ṭḥEṟE īṣ ṇO PEṟṣOṇāḻ ṃOṭīVāṭīOṇ Oṟ ṇEEḍ BEḥīṇḍ ṭḥE ṣūPṟEṃE ḻOṟḍ'ṣ āchṭ OF chṟEāṭīṇġ ṭḥE ṃāṭEṟīāḻ WOṟḻḍ|"
"--Contents of Chapter Five--","REPLY THE SCRIPTURES DECLARE THAT HE DOES.","2.1.32","","2.1.32","","","",""
"--Contents of Chapter Five--","THE CREATION IS SIMPLY THE SUPREME LORD'S PASTIME.","2.1.33","","2.1.33","","","",""
"--Contents of Chapter Five--","MATERIAL WORLD. THE LIVING ENTITIES SUFFER OR ENJOY DUE TO THEIR","2.1.34","","2.1.34","","","",""
"--Contents of Chapter Five--","ETERNALLY KEPT IN MOTION BY THE SUPREME LORD, WHO HAS NO BEGINNING).","2.1.35","","2.1.35","","","",""
"--Contents of Chapter Five--","LIBERATING THEM FROM KARMA.","2.1.36","","2.1.36","","","",""
"--Contents of Chapter Five--","HIS 'PARTIALITY' IS THEREFORE HIS IMPARTIALITY.","2.1.37","","2.1.37","","","",""
"--Contents of Chapter Six--","THEREFORE UNINTELLIGENT, CANNOT BE THE CREATOR OF THE UNIVERSE.","2.2.1","","2.2.1","","","",""
"--Contents of Chapter Six--","THREE MODES OF NATURE STIR TO INITIATE THE MATERIAL MANIFESTATION.","2.2.2","","2.2.2","","","",""
"--Contents of Chapter Six--","IT IS DIRECTED BY HIGHER AGENCY.","2.2.3","","2.2.3","","","",""
"--Contents of Chapter Six--","HOLDS THAT MATTER DOES NOT ACT ALONE.","2.2.4","","2.2.4","","","",""
"--Contents of Chapter Six--","IS THE CAUSE. BUT THESE EXAMPLES ONLY SPEAK AGAINST THEIR IDEA.","2.2.5","1o|85|6-8 pranadinam visva-srjam saktayo yah parasya tah paratantryad vaisadryad dvayos cestaiva cestatam","2.2.5","1o|85|6-8 pranadinam visva-srjam saktayo yah parasya tah paratantryad vaisadryad dvayos cestaiva cestatam","१ओ।८५।६-८ प्रनदिनम् विस्व-स्र्जम् सक्तयो यह् परस्य तह् परतन्त्र्यद् वैसद्र्यद् द्वयोस् चेस्तैव चेस्ततम्","prana--of the life air; adinam--and so on; visva--of the universe; srjam--the creative factors; saktayah--potencies; yah--vhic; parasya-- belonging to the ṣupreme; tah--they; paratantryat--because of being dependent; vaisadrsyat--because of being different; dvayoh--of both (living and nonliving manifestations in the material vorld); cesta--the activity; eva--merely; cestatam--of those entities (namely, prana and",""
"--Contents of Chapter Six--","THE ONLY CONTROLLER OF MATERIAL NATURE, THE LIVING ENTITIES AND THEIR","2.2.6","","2.2.6","","","",""
"--Contents of Chapter Six--","CONSCIOUSNESS OF THE JIVAS ARE MOVED BY THE SUPREME LORD, WHO IS ABOVE","2.2.7","","2.2.7","","","",""
"--Contents of Chapter Six--","CAUSATION IS THUS INCOMPLETE.","2.2.8","1o|13|53 kala-svabhava-samskara- kama-karma-gunadibhih sva-mahi-dhvasta-mahibhir murtimadbhir upasitah","2.2.8","1o|13|53 kala-svabhava-samskara- kama-karma-gunadibhih sva-mahi-dhvasta-mahibhir murtimadbhir upasitah","१ओ।१३।५३ कल-स्वभव-सम्स्कर- कम-कर्म-गुनदिभिह् स्व-महि-ध्वस्त-महिभिर् मुर्तिमद्भिर् उपसितह्","kala--by the time factor; svabhava--ovn nature; samskara--reformation; kama--desire; karma--fruitive action; guna--the thrī modes of material nature; adibhih--and by others; sva-mahi-dhvasta-mahibhih--vhose ovn",""
"--Contents of Chapter Six--","SEPARATELY FROM THE POWER OF THE SUPREMELY INTELLIGENT PERSONALITY OF","2.2.9","11|1o|32 yavat syad guna-vaisamyam tavan nanatvam atmanah nanatvam atmano yavat","2.2.9","11|1o|32 yavat syad guna-vaisamyam tavan nanatvam atmanah nanatvam atmano yavat","११।१ओ।३२ यवत् स्यद् गुन-वैसम्यम् तवन् ननत्वम् अत्मनह् ननत्वम् अत्मनो यवत्","",""
"--Contents of Chapter Six--","PHYSICAL DIMENSIONS ARISE FROM THEIR COMBINATION.","2.2.11","","2.2.11","","","",""
"--Contents of Chapter Six--","PERTAINS TO THE PIOUS AND IMPIOUS REACTIONS OF LIVING ENTITIES, NOT","2.2.12","","2.2.12","","","",""
"--Contents of Chapter Six--","GREAT SAGES DO NOT ACCEPT THE VAISESIKA PHILOSOPHY; THEREFORE IT IS TO","2.2.17","","2.2.17","","","",""
"--Contents of Chapter Six--","SUPERSOUL AND THE LIVING ENTITIES IS LEFT OUT.","2.2.18","1o|87|19 sva-krta-vicitra-yonisu visann iva hetutaya taratamatas cakassy anala- vat sva-krtanukrtih atha vitathasv amusv avitatham tava dhama samam viraja-dhiyo 'nuyanty abhivipanyava eka-rasam sva--by ẏourself; krta-- created; vicitra--variegated; yonisu--vithin the species of life;","2.2.18","1o|87|19 sva-krta-vicitra-yonisu visann iva hetutaya taratamatas cakassy anala- vat sva-krtanukrtih atha vitathasv amusv avitatham tava dhama samam viraja-dhiyo 'nuyanty abhivipanyava eka-rasam sva--by ẏourself; krta-- created; vicitra--variegated; yonisu--vithin the species of life;","१ओ।८७।१९ स्व-क्र्त-विचित्र-योनिसु विसन्न् इव हेतुतय तरतमतस् चकस्स्य् अनल- वत् स्व-क्र्तनुक्र्तिह् अथ वितथस्व् अमुस्व् अवितथम् तव धम समम् विरज-धियो 'नुयन्त्य् अभिविपन्यव एक-रसम् स्व--ब्य् य़ोउर्सेल्फ़्; क्र्त-- च्रेअतेद्; विचित्र--वरिएगतेद्; योनिसु--विथिन् थे स्पेचिएस् ओफ़् लिफ़े;","visan--entering; iva--apparently; hetutaya--as their motivation; taratamatah--according to hierarcies; cakassi--ẏou become visible; anala-vat--like fire; sva--ẏour ovn; krta--creation; anukrtih-- imitating; atha--therefore; vitathasu--unreal; amusu--among these (various species); anitatham--not unreal; tava--ẏour; dhama-- manifestation; samam--undifferentiated; viraja--spotless; dhiyah--vhose minds; anuyanti--understand; abhivipanyavah--those vho are frī from all material entanglements (pana); eka-rasam--uncanging|",""
"--Contents of Chapter Six--","REPLY THESE TWELVE ARE ONLY SECONDARY CAUSES.","2.2.19","","2.2.19","","","",""
